year	slug	doi	access	version	source_url
2026	accelerating-protein-design	10.1038/s41467-026-76740-9	FULL_TEXT_READ	publisher-article-in-press	https://www.nature.com/articles/s41467-026-76740-9_reference.pdf
2026	multiplex-fluorophore-binding-proteins	10.1126/science.aeb0822	FULL_TEXT_READ	official-NIH-hosted-preprint-final-publisher-pdf-unavailable	https://europepmc.org/articles/PMC12424662?pdf=render
2026	membrane-protein-wrap	10.1126/science.adr3817	FULL_TEXT_READ	official-NIH-hosted-preprint-final-publisher-pdf-unavailable	https://europepmc.org/articles/PMC11838538?pdf=render
2026	gpcr-miniproteins	10.1038/s41586-026-10656-8	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/432/db1453519cebe452e987a99f60ceb945/De%20novo%20design%20of%20miniproteins%20targeting%20GPCRs.pdf
2026	quasisymmetric-cages	10.1038/s41586-026-10464-0	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/424/ba09ef2ec11aac355a6455d107a554ca/s41586-026-10464-0.pdf
2026	macrocycle-induced-dimerization	10.1038/s41467-026-71345-8	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/598/eb9beb184c4facda387f829b42339434/s41467-026-71345-8_reference.pdf
2026	protein-design-review	10.1038/s41586-026-10328-7	ABSTRACT_ONLY	version-of-record-pdf-unavailable	https://www.bakerlab.org/wp-content/uploads/2026/05/s41586-026-10328-7.pdf
2026	small-molecule-protein-family	10.1038/s41467-026-70953-8	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.nature.com/articles/s41467-026-70953-8.pdf
2026	ras-isoform-binders	10.1016/j.chembiol.2026.02.008	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/611/0581b4675a08e12bf86978c7d614cc6c/1-s2.0-S2451945626000632-main.pdf
2026	beta-pairing-rfdiffusion	10.1038/s41467-025-67866-3	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/365/4c42c439d6300d56d83cbc25f1b2b04d/s41467-025-67866-3_reference.pdf
2026	smart-mhcs	10.1073/pnas.2505932123	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/568/197b540dbc952cfdd933d8c37b133f68/white-et-al-2026-design-of-solubly-expressed-miniaturized-smart-mhcs.pdf
2026	metallohydrolases	10.1038/s41586-025-09746-w	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/367/839f6a66a8327bdb3c87e3f3fd0f4dc2/s41586-025-09746-w.pdf
2026	rfdiffusion2	10.1038/s41592-025-02975-x	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/435/0c970a57164b437f83bbca2c4f8abf64/s41592-025-02975-x.pdf
2025	peptide-masks	10.1021/jacs.5c16108	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://europepmc.org/articles/PMC12703739?pdf=render
2025	placer	10.1073/pnas.2427161122	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/357/15e7f2ffd58a4d9f253124c36cb8b4bc/anishchenko-et-al-2025-modeling-protein-small-molecule-conformational-ensembles-with-placer.pdf
2025	calcium-channels	10.1038/s41586-025-09646-z	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/426/bcb509d80672689fabc960589366b1c6/s41586-025-09646-z.pdf
2025	insulin-receptor-agonists	10.1016/j.molcel.2025.09.020	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/360/0756a9b18efa1ad35f075936739b1ef4/1-s2.0-S1097276525007804-main.pdf
2025	il21-mimic	10.1126/sciimmunol.adx1582	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/286/969b532810eef0c5bc73dbb0ef6e782d/sciimmunol.adx1582.pdf
2025	facilitated-dissociation	10.1038/s41586-025-09549-z	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/333/ff3c130d7f8458ea2bb820bf914775e5/s41586-025-09549-z.pdf
2025	clostridial-toxin-inhibitors	10.1073/pnas.2509329122	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/317/5ce123bac4eadb3a0cf6db628837cc9b/ragotte-et-al-2025-de-novo-design-of-potent-inhibitors-of-clostridial-family-toxins.pdf
2025	beta-barrels-nanopores	10.1073/pnas.2425459122	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/352/db5b9c951daa700d3602791364b49476/kim-et-al-2025-parametrically-guided-design-of-beta-barrels-and-transmembrane-nanopores-using-deep-learning.pdf
2025	dna-binding-proteins	10.1038/s41594-025-01669-4	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/309/22954ef0e522ca7f02531373adbeaedf/s41594-025-01669-4.pdf
2025	bak-bax-binders	10.1126/sciadv.adt4170	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/288/23b7957e99a8b7e34c4162141f103a66/sciadv.adt4170.pdf
2025	idp-binders	10.1038/s41586-025-09248-9	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/348/514d8223dcf8687a946be412ed0d0cb9/s41586-025-09248-9.pdf
2025	pmhc-binders	10.1126/science.adv0185	FULL_TEXT_READ	version-of-record-or-official-institutional-copy	https://www.ipd.uw.edu/publication-pdfs/471/ea96d696b763edddce1d0849c441d0e4/science.adv0185.pdf
